,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
298,1,N3,WPLUS,PHW52*LH185,UIUC7,1.9,1.74,73.51416667,-0.918333333,93.08333333,214,70,19.92,18.296,6.51811704,19.7,52.6,129.8075236,8,3.9,71.8
299,1,N3,WPLUS,PHHB9*PHZ51,UIUC4,1.846666667,1.689166667,91.73916667,1.109166667,114.6666667,250,95,23.508,21.692,7.5296272,16.9,57.7,141.464215,8.8,3.5,71.8
300,1,N3,WPLUS,461.2B24,ORG2,1.926666667,1.74,79.03083333,0.540833333,98.91666667,211,91,23.21,19.656,5.4657836,20,53.2,107.2207145,10.2,4.7,68.7
301,2,N1,WMINUS,17.461,ORG1,1.92,1.708333333,61.20666667,-2.006666667,81.16666667,220,114,17.762,16.558,5.00311976,18.7,53.9,98.44430295,10.7,4.9,67.8
302,2,N1,WMINUS,PHHB9*Q381,UIUC5,1.883333333,1.743333333,69.87583333,-0.829166667,104.75,194,65,22.302,20.648,4.16397456,18.1,53.5,83.15456506,8,3.7,72.2
303,2,N1,WMINUS,PHHB9*PHM49,UIUC1,1.915,1.71625,73.4575,-1.1925,113,215,87,22.56,21.174,7.36633408,21.7,53.9,139.5957888,7.7,3.7,72.6
304,2,N1,WMINUS,461.2B24,ORG2,1.886666667,1.725,82.74916667,-1.765,105.5833333,220,95,21.406,19.308,4.52684816,20.7,51,91.82202112,10,4.5,69.2
305,2,N1,WMINUS,PHHB9*PHW30,UIUC3,1.873333333,1.7475,75.37916667,0.355833333,110.6666667,245,93,23.138,20.88,8.67721496,19.2,57.7,158.5126086,8.2,3.7,72
306,2,N1,WMINUS,PHHB9*PHZ51,UIUC4,1.883333333,1.735833333,83.71833333,-1.215,107.3333333,257,92,21.37,19.682,6.51811704,17.8,56.2,124.3671166,8.1,3.7,72.1
307,2,N1,WMINUS,PHHB9*PHR63,UIUC2,1.87,1.696666667,66.74583333,-1.2125,104.5833333,225,80,21.908,19.894,7.11685848,21.5,52.2,139.6160647,7.5,3.7,72.6
308,2,N1,WMINUS,PHW52*LH185,UIUC7,1.926666667,1.701666667,80.73583333,-0.286666667,74.25,204,81,17.614,16.41,4.6266384,20.3,54.2,88.75084609,7.3,3.7,72.7
309,2,N1,WMINUS,PHP38*Q381,UIUC6,1.863333333,1.711666667,80.55833333,1.529166667,99.08333333,211,78,21.338,19.178,5.83772904,17.4,55.4,113.5434601,8.5,4.1,71.3
310,2,N1,WMINUS,PHW52*Q381,UIUC8,1.903333333,1.734166667,69.93583333,0.061666667,89,186,68,18.952,17.36,4.48602488,17.7,55.5,86.77935924,8.1,4,71.8
311,2,N1,WPLUS,17.461,ORG1,1.926666667,1.710833333,45.0175,-1.424166667,68.41666667,242,127,18.554,16.66,4.88064992,17,53.3,99.14628596,9.6,4.9,68.8
312,2,N1,WPLUS,PHHB9*Q381,UIUC5,1.846666667,1.695,77.63583333,1.36,106.6666667,211,72,24.616,22.778,6.06906096,17.8,54.3,119.8509268,8.9,3.9,71.1
313,2,N1,WPLUS,PHHB9*PHM49,UIUC1,1.883333333,1.711666667,81.66916667,-2.900833333,117.5833333,225,86,22.008,20.62,7.76549504,21.7,51.5,154.0180387,7.4,3.4,73.1
314,2,N1,WPLUS,461.2B24,ORG2,1.896666667,1.7425,75.89083333,-0.330833333,98.83333333,209,95,20.568,18.764,4.0142892,19.8,51.3,81.8678847,9.7,5.1,68.8
